image,xmax,xmin,ymax,ymin
658ea2c7.jpg,512,0,280,57
464e36cb.jpg,881,0,288,43
9a8d9d07.jpg,948,0,357,117
3054d682.jpg,1040,0,524,63
4e07137d.jpg,1050,0,403,126
41e899a8.jpg,856,0,327,57
eba93d4f.jpg,1032,0,446,186
9c12d10f.jpg,681,0,211,16
e3500bdb.jpg,1050,0,606,306
9f8b2124.jpg,786,0,474,247
90e72db7.jpg,1050,0,432,99
97858391.jpg,1048,0,357,110
942b14d0.jpg,1050,0,304,35
e4cfc870.jpg,1050,0,528,55
8b9ae545.jpg,1050,0,333,77
35ad75fa.jpg,1050,0,300,21
83e4e0d6.jpg,726,0,231,42
6cb93b42.jpg,1050,0,463,138
44e85049.jpg,852,0,417,61
8c31f0f5.jpg,900,0,380,89
9cde75d8.jpg,868,0,430,189
f3235268.jpg,335,0,155,62
83a5d474.jpg,570,0,245,62
67c185bc.jpg,1026,0,519,12
9f0093ed.jpg,1050,0,523,77
7c449a13.jpg,1046,0,356,64
1fbf1e83.jpg,1050,0,288,53
d8aef9c9.jpg,994,0,375,76
44e955c8.jpg,1025,0,508,81
ff9d60a3.jpg,1033,0,462,163
79e07c00.jpg,983,0,583,87
1b089ea6.jpg,823,0,435,148
677c2196.jpg,450,0,207,56
57dca137.jpg,1050,0,492,60
d7b3a5b2.jpg,859,0,496,67
cd2f3446.jpg,700,0,324,54
9ba64fae.jpg,1050,0,437,151
9e77c15f.jpg,834,0,412,196
a02f5fbf.jpg,649,0,277,72
4ddb01c7.jpg,700,0,314,130
a14c037c.jpg,1050,0,558,74
896bf0fd.jpg,699,0,306,85
9f9dbf24.jpg,923,0,524,86
f3e6be96.jpg,977,0,422,163
39a2398c.jpg,987,0,541,239
203f55da.jpg,1050,0,452,91
9cbc9f7f.jpg,695,0,251,34
5b209e7e.jpg,1019,0,375,136
ffa78ccc.jpg,1050,0,320,38
3bcf84af.jpg,1050,0,437,56
32763f5a.jpg,1005,0,421,150
396abf42.jpg,685,0,206,22
3c91a604.jpg,985,0,379,84
7bdb0766.jpg,699,0,298,52
70cd3cf2.jpg,977,0,447,154
c18dac74.jpg,786,0,412,93
dfb1e79d.jpg,1045,0,434,75
95e22a35.jpg,736,0,374,109
3e69d7da.jpg,1050,0,471,155
